epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,29414,1.00437,0.66658,0.9355,0.43558,0.36746,0.34882,0.18924,1.77081,1.9563,1.63873,0.001486,0.001486,0.001486
88,29741.6,1.00044,0.66085,0.93154,0.44102,0.36409,0.34319,0.18626,1.78405,1.9777,1.6495,0.001387,0.001387,0.001387
89,30069.2,0.9873,0.65334,0.9297,0.4704,0.3524,0.34373,0.18789,1.79086,1.98744,1.65309,0.001288,0.001288,0.001288
90,30397,0.97955,0.64971,0.93006,0.47273,0.35203,0.34641,0.18803,1.7879,1.98943,1.65081,0.001189,0.001189,0.001189
91,30736.4,0.94934,0.59608,0.92486,0.47888,0.35544,0.34422,0.18697,1.79246,1.98104,1.65665,0.00109,0.00109,0.00109
92,31062.5,0.94073,0.5836,0.91841,0.49248,0.34911,0.3405,0.18634,1.78701,1.98161,1.66463,0.000991,0.000991,0.000991
93,31389.3,0.9203,0.56897,0.91293,0.49838,0.34596,0.33985,0.18656,1.77335,1.98113,1.65345,0.000892,0.000892,0.000892
94,31716.1,0.90779,0.55935,0.90675,0.47482,0.36446,0.33924,0.18824,1.77653,1.98492,1.65177,0.000793,0.000793,0.000793
95,32041.9,0.91313,0.56449,0.90972,0.48462,0.36406,0.33866,0.18811,1.76405,1.98263,1.64236,0.000694,0.000694,0.000694
96,32367.9,0.89619,0.55155,0.90552,0.50787,0.34557,0.33596,0.18568,1.75865,1.99335,1.64478,0.000595,0.000595,0.000595
97,32694.4,0.88419,0.54613,0.90357,0.50564,0.34402,0.33127,0.18441,1.75458,2.00066,1.64607,0.000496,0.000496,0.000496
98,33020.1,0.88236,0.53941,0.90083,0.50782,0.34431,0.33396,0.18423,1.75094,2.00557,1.64465,0.000397,0.000397,0.000397
99,33345.9,0.88112,0.53954,0.9035,0.50744,0.34411,0.33365,0.18458,1.74867,2.01319,1.64303,0.000298,0.000298,0.000298
100,33672,0.87736,0.53449,0.89739,0.47464,0.35707,0.33295,0.18476,1.75165,2.01929,1.64905,0.000199,0.000199,0.000199
